District,TotMathStatMajor,TotAgricultureMaj,TotComputingMaj,TotJournalismMajor,TotOtherMajors,TotUkMajor,Totgrads,TotHumanitiesMajors,TotBusinessMaj,TotEduMajor,TotScienceMajors,TotHealthMajors,TotEngineerMajors,TotLawMajors,TotSocialSciMajors,MaleMathMajors,MaleAgricultureMajor,MaleComputingMajor,MaleJournalismMajor,MaleOtherMajor,MaleukMajor,TotMalegrads,MaleHumanitiesMajor,MaleBusinessMajor,MaleEducationMajor,MaleScienceMajor,MaleHealthMajor,MaleEngineerMajors,MaleLawMajor,MaleSocialscienceMajor,FemaleMathMajor,FemaleAgriMajor,FemaleComputingMajor,FemaleJournalismMajor,FemaleOtherMajor,FemaleUnknownmajor,FemaleTotalGrads,FemaleHumanitiesMajor,FemaleBusinessMajor,FemaleEducationMajor,FemaleScienceMajor,FemaleHealthMajor,FemaleEngineerMajor,FemaleLawMajor,FemaleSocialScienceMajor
Lamjung,85,65,8,3,3,755,7051,1688,1111,2660,274,105,46,62,186,70,52,6,3,3,426,4086,1048,749,1197,234,70,44,54,130,15,13,2,0,0,329,2965,640,362,1463,40,35,2,8,56
Tanahu,182,73,14,2,4,3355,12984,3361,1955,2682,525,155,91,122,463,151,58,12,2,3,1877,7512,1963,1313,1139,418,82,82,107,305,31,15,2,0,1,1478,5472,1398,642,1543,107,73,9,15,158
Syangja,272,71,15,3,2,2359,15137,4352,2614,3798,507,187,76,170,711,220,53,13,2,2,1227,8311,2401,1739,1451,435,74,67,143,484,52,18,2,1,0,1132,6826,1951,875,2347,72,113,9,27,227
Kaski,529,356,221,26,16,8124,58265,12877,15310,10177,4996,1696,1384,664,1889,403,296,172,17,8,4650,34288,7428,9789,4113,3595,815,1221,558,1223,126,60,49,9,8,3474,23977,5449,5521,6064,1401,881,163,106,666
Manang,4,10,1,0,0,34,656,108,86,319,29,23,10,7,25,4,8,1,0,0,19,436,86,70,171,23,17,10,7,20,0,2,0,0,0,15,220,22,16,148,6,6,0,0,5
Mustang,9,11,3,1,0,120,768,164,170,167,47,12,13,8,43,9,9,1,1,0,90,576,130,121,109,40,8,11,8,39,0,2,2,0,0,30,192,34,49,58,7,4,2,0,4
Myagdi,72,11,5,3,5,630,3633,1009,778,722,164,56,25,35,118,59,7,4,2,4,363,2194,595,487,354,143,36,25,33,82,13,4,1,1,1,267,1439,414,291,368,21,20,0,2,36
Parbat,153,41,3,2,1,946,7178,2358,910,1947,260,89,40,97,331,120,34,3,2,1,543,4330,1431,654,893,220,56,36,88,249,33,7,0,0,0,403,2848,927,256,1054,40,33,4,9,82
Baglung,303,32,13,1,7,1598,10523,4242,1269,1862,393,129,69,138,467,224,22,12,1,4,856,5940,2272,827,813,324,70,61,121,333,79,10,1,0,3,742,4583,1970,442,1049,69,59,8,17,134
Gulmi,146,27,8,1,1,1178,8897,3122,1197,2410,327,122,29,63,266,129,20,7,0,0,664,5274,1935,856,1033,281,70,26,55,198,17,7,1,1,1,514,3623,1187,341,1377,46,52,3,8,68
Palpa,102,51,9,1,0,2273,12447,2824,2610,2871,828,341,107,115,315,81,43,9,1,0,1242,7181,1690,1746,1140,648,156,97,103,225,21,8,0,0,0,1031,5266,1134,864,1731,180,185,10,12,90
